timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue,cloud_provider,cloud_region
2025-12-13T06:43:31,cot_batch_0,f3396fd7-c777-4f0e-a24a-5aeccf7d287e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,379.84667962700007,0.0044782891886762,1.178972840587624e-05,42.5,69.1557132877549,10.0,0.004480448025825,0.007288935831144,0.0010540786329472,0.0128234624899162,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T06:49:44,cot_batch_1,38a0d4d0-713a-4a80-b094-afdf63076563,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,370.869084679,0.0043828504016305,1.1817783101074863e-05,42.5,69.41914526554707,10.0,0.0043746210565166,0.0071463857171039,0.0010291692771666,0.0125501760507873,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T06:56:40,cot_batch_2,ea84a50e-98ef-494c-b07a-f14ed174cc6a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,415.22486875,0.0049069186104495,1.181749692695784e-05,42.5,69.40979116324748,10.0,0.0048979815102368,0.008000540567094,0.0011523094101222,0.014050831487453,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:05:35,cot_batch_3,cc5aae7a-1d99-4092-a157-553499dd75d5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,533.547811441,0.0063090731047458,1.1824756787412175e-05,42.5,69.49504259629568,10.0,0.0062933922303152,0.0102919051779619,0.0014805663392944,0.0180658637475717,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:12:03,cot_batch_4,5f0ea9b3-de2b-4e3f-a42f-c960f1b31cb9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,386.69063487999983,0.0045693557223877,1.1816566811362531e-05,42.5,69.40014374133806,10.0,0.0045611631523201,0.0074499631821879,0.0010731027629083,0.0130842290974164,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:17:32,cot_batch_5,4c69de3a-eca8-4fe2-9c83-a01c0f517278,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,327.9901404020002,0.0038751050739395,1.1814699884545298e-05,42.5,69.38005448684895,10.0,0.0038688655278097,0.006317171998178,0.0009102232259527,0.0110962607519404,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:23:01,cot_batch_6,39b68a43-6673-46ca-9919-4194fef632fc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,327.2954975009998,0.0038667590901629,1.1814275233502516e-05,42.5,69.3820454338482,10.0,0.0038603660933666,0.006303788098582,0.0009082080564805,0.0110723622484292,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:29:03,cot_batch_7,55ca8eed-d7a5-4671-a554-025a5d650a95,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,360.928885628,0.0042636396232007,1.1812963143091889e-05,42.5,69.15027760349085,10.0,0.0042568288156965,0.006950518338188,0.0010014719900166,0.0122088191439011,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:34:18,cot_batch_8,abb9afac-aa85-48dd-bfa8-5ee8ca319a46,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,312.99439388200017,0.0036982291490562,1.1815640220222404e-05,42.5,69.39551776619263,10.0,0.0036918631048194,0.0060293784346099,0.0008685396859444,0.0105897812253738,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:41:11,cot_batch_9,123f735f-f6a1-403c-8043-d92a0199ac90,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,412.4296011469996,0.0048743975054765,1.181873825719708e-05,42.5,69.44569640288117,10.0,0.004864621357984,0.007948629136676,0.0011444576699833,0.0139577081646433,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:48:33,cot_batch_10,7d0ef191-41f6-444a-adbb-94c3f362b297,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,440.3040795810002,0.0052042415241123,1.181965320208878e-05,42.5,69.44104938812896,10.0,0.0051932381687742,0.008487188178634,0.0012217814290944,0.0149022077765027,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
2025-12-13T07:54:14,cot_batch_11,52feddbb-2a28-484c-a4a1-947e45996b98,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,339.758116297,0.0040147128955224,1.1816385548867888e-05,42.5,69.41390735532997,10.0,0.0040070533456076,0.0065462666258979,0.0009427040801999,0.0114960240517056,0.0,United States,USA,nevada,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,-115.1164,36.1685,12.671428680419922,machine,N,1.0,0.0,,
