batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,few_shot,4456,2516,6972,445.6,251.6,697.2,586,909,10,1,10
2,few_shot,4412,2133,6545,441.2,213.3,654.5,524,813,10,11,20
3,few_shot,4449,2561,7010,444.9,256.1,701.0,618,801,10,21,30
4,few_shot,4684,3118,7802,468.4,311.8,780.2,525,1597,10,31,40
5,few_shot,4322,2078,6400,432.2,207.8,640.0,554,728,10,41,50
6,few_shot,4343,2022,6365,434.3,202.2,636.5,556,810,10,51,60
7,few_shot,4479,2249,6728,447.9,224.9,672.8,566,860,10,61,70
8,few_shot,4450,2229,6679,445.0,222.9,667.9,541,879,10,71,80
9,few_shot,4198,2114,6312,419.8,211.4,631.2,521,761,10,81,90
10,few_shot,4229,2144,6373,422.9,214.4,637.3,568,729,10,91,100
11,few_shot,4366,2627,6993,436.6,262.7,699.3,536,948,10,101,110
12,few_shot,4203,2222,6425,420.3,222.2,642.5,523,785,10,111,120
13,few_shot,4673,2476,7149,467.3,247.6,714.9,633,851,10,121,130
14,few_shot,4403,2024,6427,440.3,202.4,642.7,555,731,10,131,140
15,few_shot,4523,2593,7116,452.3,259.3,711.6,566,853,10,141,150
16,few_shot,4599,3328,7927,459.9,332.8,792.7,631,1438,10,151,160
17,few_shot,4380,2354,6734,438.0,235.4,673.4,544,774,10,161,170
18,few_shot,4345,2238,6583,434.5,223.8,658.3,553,751,10,171,180
19,few_shot,4594,3490,8084,459.4,349.0,808.4,648,1470,10,181,190
20,few_shot,4388,2513,6901,438.8,251.3,690.1,597,787,10,191,200
21,few_shot,4328,2290,6618,432.8,229.0,661.8,549,771,10,201,210
22,few_shot,4303,2490,6793,430.3,249.0,679.3,567,930,10,211,220
23,few_shot,4479,2609,7088,447.9,260.9,708.8,575,991,10,221,230
24,few_shot,4534,2393,6927,453.4,239.3,692.7,542,828,10,231,240
25,few_shot,4569,2527,7096,456.9,252.7,709.6,574,873,10,241,250
26,few_shot,4190,2141,6331,419.0,214.1,633.1,576,720,10,251,260
27,few_shot,4144,2159,6303,414.4,215.9,630.3,544,769,10,261,270
28,few_shot,4259,2695,6954,425.9,269.5,695.4,569,914,10,271,280
