batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,least_to_most,4316,2811,7127,431.6,281.1,712.7,578,993,10,1,10
2,least_to_most,4272,3284,7556,427.2,328.4,755.6,537,1427,10,11,20
3,least_to_most,4309,3078,7387,430.9,307.8,738.7,626,1018,10,21,30
4,least_to_most,4544,3076,7620,454.4,307.6,762.0,561,1053,10,31,40
5,least_to_most,4182,2749,6931,418.2,274.9,693.1,576,943,10,41,50
6,least_to_most,4203,2601,6804,420.3,260.1,680.4,520,916,10,51,60
7,least_to_most,4339,2752,7091,433.9,275.2,709.1,557,1143,10,61,70
8,least_to_most,4310,2536,6846,431.0,253.6,684.6,552,860,10,71,80
9,least_to_most,4058,3125,7183,405.8,312.5,718.3,555,1432,10,81,90
10,least_to_most,4089,2717,6806,408.9,271.7,680.6,588,847,10,91,100
11,least_to_most,4226,2785,7011,422.6,278.5,701.1,571,864,10,101,110
12,least_to_most,4063,2517,6580,406.3,251.7,658.0,557,752,10,111,120
13,least_to_most,4533,3384,7917,453.3,338.4,791.7,598,1161,10,121,130
14,least_to_most,4263,2357,6620,426.3,235.7,662.0,561,756,10,131,140
15,least_to_most,4383,3254,7637,438.3,325.4,763.7,566,1102,10,141,150
16,least_to_most,4459,4526,8985,445.9,452.6,898.5,690,1475,10,151,160
17,least_to_most,4240,2546,6786,424.0,254.6,678.6,555,791,10,161,170
18,least_to_most,4205,2276,6481,420.5,227.6,648.1,560,747,10,171,180
19,least_to_most,4454,2727,7181,445.4,272.7,718.1,609,883,10,181,190
20,least_to_most,4248,2991,7239,424.8,299.1,723.9,601,921,10,191,200
21,least_to_most,4188,2308,6496,418.8,230.8,649.6,547,769,10,201,210
22,least_to_most,4163,2587,6750,416.3,258.7,675.0,604,913,10,211,220
23,least_to_most,4339,3885,8224,433.9,388.5,822.4,558,1434,10,221,230
24,least_to_most,4394,4023,8417,439.4,402.3,841.7,538,1495,10,231,240
25,least_to_most,4429,4059,8488,442.9,405.9,848.8,576,1453,10,241,250
