batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,pot,5124,3572,8696,512.4,357.2,869.6,719,1085,10,1,10
2,pot,5147,3447,8594,514.7,344.7,859.4,684,1189,10,11,20
3,pot,5189,4368,9557,518.9,436.8,955.7,735,1557,10,21,30
4,pot,5419,5299,10718,541.9,529.9,1071.8,634,1690,10,31,40
5,pot,4988,3287,8275,498.8,328.7,827.5,735,906,10,41,50
6,pot,5012,3004,8016,501.2,300.4,801.6,695,1029,10,51,60
7,pot,5181,3974,9155,518.1,397.4,915.5,701,1189,10,61,70
8,pot,5125,3963,9088,512.5,396.3,908.8,656,1215,10,71,80
9,pot,4827,2988,7815,482.7,298.8,781.5,641,1131,10,81,90
10,pot,4864,4196,9060,486.4,419.6,906.0,712,1275,10,91,100
11,pot,5070,4001,9071,507.0,400.1,907.1,675,1186,10,101,110
12,pot,4870,3514,8384,487.0,351.4,838.4,701,1086,10,111,120
13,pot,5449,3334,8783,544.9,333.4,878.3,772,1112,10,121,130
14,pot,5137,3903,9040,513.7,390.3,904.0,685,1355,10,131,140
15,pot,5330,4118,9448,533.0,411.8,944.8,769,1112,10,141,150
16,pot,5303,4293,9596,530.3,429.3,959.6,764,1296,10,151,160
17,pot,5066,3786,8852,506.6,378.6,885.2,708,1063,10,161,170
18,pot,5061,3615,8676,506.1,361.5,867.6,652,1084,10,171,180
19,pot,5341,4180,9521,534.1,418.0,952.1,771,1222,10,181,190
20,pot,5043,4052,9095,504.3,405.2,909.5,794,1247,10,191,200
21,pot,5025,3371,8396,502.5,337.1,839.6,702,1084,10,201,210
22,pot,4963,3395,8358,496.3,339.5,835.8,723,1013,10,211,220
23,pot,5179,4310,9489,517.9,431.0,948.9,738,1298,10,221,230
24,pot,5302,3231,8533,530.2,323.1,853.3,632,1120,10,231,240
25,pot,5314,3540,8854,531.4,354.0,885.4,701,1140,10,241,250
