task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,zero_shot,338,387,725,0
2,zero_shot,162,260,422,0
3,zero_shot,179,357,536,0
4,zero_shot,166,390,556,0
5,zero_shot,256,262,518,0
6,zero_shot,187,265,452,0
7,zero_shot,156,435,591,0
8,zero_shot,157,266,423,0
9,zero_shot,192,305,497,0
10,zero_shot,157,832,989,0
11,zero_shot,235,255,490,1
12,zero_shot,144,533,677,1
13,zero_shot,167,409,576,1
14,zero_shot,148,294,442,1
15,zero_shot,153,459,612,1
16,zero_shot,187,1024,1211,1
17,zero_shot,141,325,466,1
18,zero_shot,405,342,747,1
19,zero_shot,161,241,402,1
20,zero_shot,216,388,604,1
21,zero_shot,170,363,533,2
22,zero_shot,208,302,510,2
23,zero_shot,190,348,538,2
24,zero_shot,210,430,640,2
25,zero_shot,191,268,459,2
26,zero_shot,175,442,617,2
27,zero_shot,162,330,492,2
28,zero_shot,192,374,566,2
29,zero_shot,220,397,617,2
30,zero_shot,249,329,578,2
31,zero_shot,306,391,697,3
32,zero_shot,245,304,549,3
33,zero_shot,207,305,512,3
34,zero_shot,253,513,766,3
35,zero_shot,142,368,510,3
36,zero_shot,190,535,725,3
37,zero_shot,190,310,500,3
38,zero_shot,193,295,488,3
39,zero_shot,350,1024,1374,3
40,zero_shot,160,387,547,3
41,zero_shot,162,346,508,4
42,zero_shot,152,286,438,4
43,zero_shot,180,316,496,4
44,zero_shot,174,1024,1198,4
45,zero_shot,227,340,567,4
46,zero_shot,155,344,499,4
47,zero_shot,222,279,501,4
48,zero_shot,200,473,673,4
49,zero_shot,150,466,616,4
50,zero_shot,187,309,496,4
51,zero_shot,155,287,442,5
52,zero_shot,147,436,583,5
53,zero_shot,161,254,415,5
54,zero_shot,265,323,588,5
55,zero_shot,161,321,482,5
56,zero_shot,205,293,498,5
57,zero_shot,188,297,485,5
58,zero_shot,145,284,429,5
59,zero_shot,144,496,640,5
60,zero_shot,272,311,583,5
61,zero_shot,226,306,532,6
62,zero_shot,135,291,426,6
63,zero_shot,164,300,464,6
64,zero_shot,185,428,613,6
65,zero_shot,189,427,616,6
66,zero_shot,167,314,481,6
67,zero_shot,251,415,666,6
68,zero_shot,194,468,662,6
69,zero_shot,272,457,729,6
70,zero_shot,221,394,615,6
71,zero_shot,270,368,638,7
72,zero_shot,150,253,403,7
73,zero_shot,149,364,513,7
74,zero_shot,332,351,683,7
75,zero_shot,168,400,568,7
76,zero_shot,198,210,408,7
77,zero_shot,142,1024,1166,7
78,zero_shot,208,274,482,7
79,zero_shot,173,316,489,7
80,zero_shot,152,1024,1176,7
81,zero_shot,187,280,467,8
82,zero_shot,152,357,509,8
83,zero_shot,223,438,661,8
84,zero_shot,169,649,818,8
85,zero_shot,152,404,556,8
86,zero_shot,151,377,528,8
87,zero_shot,174,438,612,8
88,zero_shot,151,330,481,8
89,zero_shot,137,288,425,8
90,zero_shot,169,337,506,8
91,zero_shot,157,402,559,9
92,zero_shot,184,310,494,9
93,zero_shot,176,383,559,9
94,zero_shot,163,334,497,9
95,zero_shot,154,345,499,9
96,zero_shot,161,664,825,9
97,zero_shot,216,421,637,9
98,zero_shot,157,373,530,9
99,zero_shot,146,435,581,9
100,zero_shot,186,1024,1210,9
101,zero_shot,205,445,650,10
102,zero_shot,160,341,501,10
103,zero_shot,214,336,550,10
104,zero_shot,163,339,502,10
105,zero_shot,133,263,396,10
