task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,zero_shot,352,473,825,0
2,zero_shot,174,452,626,0
3,zero_shot,187,456,643,0
4,zero_shot,177,367,544,0
5,zero_shot,274,347,621,0
6,zero_shot,195,640,835,0
7,zero_shot,164,536,700,0
8,zero_shot,165,364,529,0
9,zero_shot,202,376,578,0
10,zero_shot,165,396,561,0
11,zero_shot,245,480,725,1
12,zero_shot,152,441,593,1
13,zero_shot,179,534,713,1
14,zero_shot,156,453,609,1
15,zero_shot,162,442,604,1
16,zero_shot,202,528,730,1
17,zero_shot,151,377,528,1
18,zero_shot,429,578,1007,1
19,zero_shot,171,430,601,1
20,zero_shot,237,356,593,1
21,zero_shot,181,467,648,2
22,zero_shot,220,363,583,2
23,zero_shot,198,439,637,2
24,zero_shot,221,712,933,2
25,zero_shot,200,335,535,2
26,zero_shot,185,371,556,2
27,zero_shot,171,313,484,2
28,zero_shot,212,553,765,2
29,zero_shot,231,418,649,2
30,zero_shot,262,459,721,2
31,zero_shot,317,393,710,3
32,zero_shot,261,842,1103,3
33,zero_shot,215,442,657,3
34,zero_shot,261,524,785,3
35,zero_shot,150,308,458,3
36,zero_shot,200,731,931,3
37,zero_shot,201,311,512,3
38,zero_shot,201,470,671,3
39,zero_shot,360,1024,1384,3
40,zero_shot,172,430,602,3
41,zero_shot,172,359,531,4
42,zero_shot,160,368,528,4
43,zero_shot,191,292,483,4
44,zero_shot,185,335,520,4
45,zero_shot,244,456,700,4
46,zero_shot,165,321,486,4
47,zero_shot,232,466,698,4
48,zero_shot,208,541,749,4
49,zero_shot,158,367,525,4
50,zero_shot,195,335,530,4
51,zero_shot,166,373,539,5
52,zero_shot,155,394,549,5
53,zero_shot,173,768,941,5
54,zero_shot,277,414,691,5
55,zero_shot,169,515,684,5
56,zero_shot,213,435,648,5
57,zero_shot,196,493,689,5
58,zero_shot,153,438,591,5
59,zero_shot,153,393,546,5
60,zero_shot,294,610,904,5
61,zero_shot,234,466,700,6
62,zero_shot,143,285,428,6
63,zero_shot,174,373,547,6
64,zero_shot,197,550,747,6
65,zero_shot,206,431,637,6
66,zero_shot,175,375,550,6
67,zero_shot,259,396,655,6
68,zero_shot,202,260,462,6
69,zero_shot,306,555,861,6
70,zero_shot,231,412,643,6
71,zero_shot,286,463,749,7
72,zero_shot,160,441,601,7
73,zero_shot,157,552,709,7
74,zero_shot,349,517,866,7
75,zero_shot,176,442,618,7
76,zero_shot,208,410,618,7
77,zero_shot,150,363,513,7
78,zero_shot,218,514,732,7
79,zero_shot,181,353,534,7
80,zero_shot,165,477,642,7
81,zero_shot,201,397,598,8
82,zero_shot,162,361,523,8
83,zero_shot,236,394,630,8
84,zero_shot,181,350,531,8
85,zero_shot,162,368,530,8
86,zero_shot,159,545,704,8
87,zero_shot,184,706,890,8
88,zero_shot,163,438,601,8
89,zero_shot,145,254,399,8
90,zero_shot,177,328,505,8
91,zero_shot,165,336,501,9
92,zero_shot,200,296,496,9
93,zero_shot,190,294,484,9
94,zero_shot,175,392,567,9
95,zero_shot,163,330,493,9
96,zero_shot,171,462,633,9
97,zero_shot,224,531,755,9
98,zero_shot,169,409,578,9
99,zero_shot,154,552,706,9
100,zero_shot,195,400,595,9
101,zero_shot,213,415,628,10
102,zero_shot,172,449,621,10
103,zero_shot,228,311,539,10
104,zero_shot,172,515,687,10
105,zero_shot,141,378,519,10
106,zero_shot,168,500,668,10
107,zero_shot,270,717,987,10
108,zero_shot,212,609,821,10
109,zero_shot,184,361,545,10
110,zero_shot,234,408,642,10
111,zero_shot,168,492,660,11
112,zero_shot,153,372,525,11
113,zero_shot,256,586,842,11
114,zero_shot,178,344,522,11
115,zero_shot,158,313,471,11
116,zero_shot,162,400,562,11
117,zero_shot,224,421,645,11
118,zero_shot,161,389,550,11
119,zero_shot,172,341,513,11
120,zero_shot,171,484,655,11
121,zero_shot,233,525,758,12
122,zero_shot,301,1024,1325,12
123,zero_shot,324,399,723,12
124,zero_shot,171,420,591,12
125,zero_shot,242,1024,1266,12
126,zero_shot,187,467,654,12
127,zero_shot,209,402,611,12
128,zero_shot,188,406,594,12
129,zero_shot,327,749,1076,12
130,zero_shot,200,397,597,12
131,zero_shot,258,1024,1282,13
132,zero_shot,158,293,451,13
133,zero_shot,181,363,544,13
134,zero_shot,220,492,712,13
135,zero_shot,152,405,557,13
136,zero_shot,318,421,739,13
137,zero_shot,201,407,608,13
138,zero_shot,184,562,746,13
139,zero_shot,161,331,492,13
140,zero_shot,198,383,581,13
141,zero_shot,252,374,626,14
142,zero_shot,179,586,765,14
143,zero_shot,167,404,571,14
144,zero_shot,193,556,749,14
